STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,SNWD,SNOW,TAVG,TMAX,TMIN
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160607,0,0,0,-9999,85,64
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160608,0.45,0,0,-9999,67,52
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160609,0,0,0,-9999,71,54
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160610,0,0,0,-9999,77,57
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160611,0,0,0,-9999,88,59
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160612,0,0,0,-9999,83,62
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160613,0,0,0,-9999,74,57
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160614,0,0,0,-9999,79,58
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.7889,-73.9669,20160615,0,0,0,-9999,85,62
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.7889,-73.9669,20160616,0.22,0,0,-9999,74,65
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.7889,-73.9669,20160617,0,0,0,-9999,78,63
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.7889,-73.9669,20160618,0,0,0,-9999,87,61
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.7889,-73.9669,20160619,0,0,0,-9999,88,66
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.7889,-73.9669,20160620,0,0,0,-9999,84,64
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.7889,-73.9669,20160621,0,0,0,-9999,87,72
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.7889,-73.9669,20160622,0,0,0,-9999,86,68
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.7889,-73.9669,20160623,0,0,0,-9999,83,69
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.7889,-73.9669,20160624,0,0,0,-9999,84,67
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.7889,-73.9669,20160625,0,0,0,-9999,86,64
